Protein.Group,Protein.Names,Genes,First.Protein.Description,D:\2025NK010\2025NK010_EVCO_001_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_002_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_003_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_004_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_005_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_006_01_500ng.raw
Q03426,KIME_HUMAN,MVK,Mevalonate kinase,8201.16,,16297.1,9982.48,11302.5,4919.5
Q03468;P0DP91,ERCC6_HUMAN;ERPG3_HUMAN,ERCC6,Chimeric ERCC6-PGBD3 protein,3831.07,,,4524.36,4193.65,
Q03518,TAP1_HUMAN,TAP1,Antigen peptide transporter 1,2363.23,,,9145.75,5279.42,13086.1
Q03519,TAP2_HUMAN,TAP2,Antigen peptide transporter 2,5.60E+06,,,35091.9,16592.8,53670.6
Q03591,FHR1_HUMAN,CFHR1,Complement factor H-related protein 1,2.68E+06,1.46E+07,3.13E+06,3.01E+06,4.00E+06,5.71E+06
Q03701,CEBPZ_HUMAN,CEBPZ,CCAAT/enhancer-binding protein zeta,23788.3,,9800.62,,10670.3,
Q04206,TF65_HUMAN,RELA,Transcription factor p65,9.78E+06,2.49E+06,1.32E+07,1.58E+07,1.83E+07,1.36E+07
Q04323,UBXN1_HUMAN,UBXN1,UBX domain-containing protein 1,5.86E+06,5.69E+06,6.40E+06,7.40E+06,6.87E+06,5.58E+06
Q04446,GLGB_HUMAN,GBE1,"1,4-alpha-glucan-branching enzyme",1.21E+07,1.86E+07,1.88E+07,1.20E+07,9.73E+06,1.17E+07
Q04609,FOLH1_HUMAN,FOLH1,Glutamate carboxypeptidase 2,,,,6078.42,5851.5,
Q04637,IF4G1_HUMAN,EIF4G1,Eukaryotic translation initiation factor 4 gamma 1,8.50E+06,8.98E+06,4.81E+06,6.99E+06,9.36E+06,6.31E+06
Q04721,NOTC2_HUMAN,NOTCH2,Neurogenic locus notch homolog protein 2,18062.5,,64793.8,66872.7,21593.8,133327
Q04724,TLE1_HUMAN,TLE1,Transducin-like enhancer protein 1,286869,,222291,290235,274102,291706
Q04725,TLE2_HUMAN,TLE2,Transducin-like enhancer protein 2,,,,,,2293.74
Q04726,TLE3_HUMAN,TLE3,Transducin-like enhancer protein 3,639029,,421537,627995,462549,568351
Q04756,HGFA_HUMAN,HGFAC,Hepatocyte growth factor activator,7.70E+06,1.57E+07,1.38E+07,7.32E+06,2.45E+07,1.40E+07
Q04760,LGUL_HUMAN,GLO1,Lactoylglutathione lyase,6.27E+07,1.52E+08,7.15E+07,4.90E+07,3.93E+07,7.44E+07
Q04771,ACVR1_HUMAN,ACVR1,Activin receptor type-1,,,,,,474186
Q04837,SSBP_HUMAN,SSBP1,"Single-stranded DNA-binding protein, mitochondrial",1.78E+06,2.55E+06,1.75E+06,1.33E+06,717299,2.19E+06
Q04844,ACHE_HUMAN,CHRNE,Acetylcholine receptor subunit epsilon,2.04E+06,,4.16E+06,5.16E+06,7.00E+06,3.14E+06
Q04864,REL_HUMAN,REL,Proto-oncogene c-Rel,312375,444261,291732,466431,370047,226986
Q04917,1433F_HUMAN,YWHAH,14-3-3 protein eta,3.46E+07,3.74E+07,4.23E+07,3.09E+07,4.43E+07,2.88E+07
Q04941,PLP2_HUMAN,PLP2,Proteolipid protein 2,4.57E+06,6.95E+06,,2.56E+06,1.99E+06,4.68E+06
Q05048,CSTF1_HUMAN,CSTF1,Cleavage stimulation factor subunit 1,361661,,168633,360519,331234,316981
Q05084,ICA69_HUMAN,ICA1,Islet cell autoantigen 1,155814,,141405,236994,119601,75190.9
Q05086,UBE3A_HUMAN,UBE3A,Ubiquitin-protein ligase E3A,3.68E+06,3.91E+06,3.90E+06,3.58E+06,3.51E+06,3.60E+06
Q05193,DYN1_HUMAN,DNM1,Dynamin-1,477665,,605045,190748,232184,722335
Q05209,PTN12_HUMAN,PTPN12,Tyrosine-protein phosphatase non-receptor type 12,8.59E+06,1.08E+07,7.86E+06,9.74E+06,1.04E+07,7.64E+06
Q05315,LEG10_HUMAN,CLC,Galectin-10,5.91E+06,1.52E+08,2.53E+06,8.71E+06,5.38E+06,2.35E+07
Q05397,FAK1_HUMAN,PTK2,Focal adhesion kinase 1,385880,457634,240617,310611,428545,364600
Q05513,KPCZ_HUMAN,PRKCZ,Protein kinase C zeta type,59464.7,,112215,46051.7,61863.2,48215.7
Q05519,SRS11_HUMAN,SRSF11,Serine/arginine-rich splicing factor 11,3.94E+06,5.12E+06,1.57E+06,1.23E+06,1.95E+06,1.36E+06
Q05639,EF1A2_HUMAN,EEF1A2,Elongation factor 1-alpha 2,1.32E+08,2.21E+08,2.46E+08,3.09E+08,2.92E+08,2.35E+08
Q05655,KPCD_HUMAN,PRKCD,Protein kinase C delta type,2.04E+06,2.40E+06,1.53E+06,1.27E+06,2.49E+06,1.14E+06
Q05682,CALD1_HUMAN,CALD1,Caldesmon,2.04E+07,1.46E+07,5.56E+06,6.48E+06,6.13E+06,2.16E+07
Q05707,COEA1_HUMAN,COL14A1,Collagen alpha-1(XIV) chain,1.79E+06,2.42E+06,2.01E+06,629712,1.36E+06,5.02E+06
Q05823,RN5A_HUMAN,RNASEL,2-5A-dependent ribonuclease,3587.7,,31914.7,14918.5,28551.9,
Q06033,ITIH3_HUMAN,ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3,3.23E+07,2.93E+07,6.99E+07,2.62E+07,1.03E+08,7.01E+07
Q06124,PTN11_HUMAN,PTPN11,Tyrosine-protein phosphatase non-receptor type 11,5.16E+06,6.32E+06,6.05E+06,5.01E+06,3.64E+06,5.44E+06
Q06136,KDSR_HUMAN,KDSR,3-ketodihydrosphingosine reductase,22124,,,5987.6,,
Q06187,BTK_HUMAN,BTK,Tyrosine-protein kinase BTK,29242,59729.1,28978.5,,58192.5,27263.2
Q06203,PUR1_HUMAN,PPAT,Amidophosphoribosyltransferase,642329,623069,912297,1.13E+06,954769,782142
Q06210,GFPT1_HUMAN,GFPT1,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1,4.11E+06,6.78E+06,4.98E+06,5.85E+06,1.18E+07,4.13E+06
Q06265,EXOS9_HUMAN,EXOSC9,Exosome complex component RRP45,26152.3,,10432.9,20660.4,22739,28972.7
Q06323,PSME1_HUMAN,PSME1,Proteasome activator complex subunit 1,7.87E+07,1.21E+08,8.07E+07,8.64E+07,7.76E+07,7.42E+07
Q06330,SUH_HUMAN,RBPJ,Recombining binding protein suppressor of hairless,,,3604.77,,2634.53,
Q06481,APLP2_HUMAN,APLP2,Amyloid beta precursor like protein 2,2.65E+06,1.63E+07,2.36E+06,3.43E+06,7.95E+06,1.70E+06
Q06546,GABPA_HUMAN,GABPA,GA-binding protein alpha chain,1.94E+06,,1.77E+06,2.23E+06,1.80E+06,1.98E+06
Q06547,GABP1_HUMAN,GABPB1,GA-binding protein subunit beta-1,1.51E+06,,1.77E+06,2.56E+06,2.00E+06,
Q06587,RING1_HUMAN,RING1,E3 ubiquitin-protein ligase RING1,1.05E+06,,639203,373230,503351,904522
Q06710,PAX8_HUMAN,PAX8,Paired box protein Pax-8,1912,,2135.16,6572.54,4874.42,5407.03
Q06787,FMR1_HUMAN,FMR1,Fragile X messenger ribonucleoprotein 1,1.30E+06,,646369,900761,723189,770819
Q06828,FMOD_HUMAN,FMOD,Fibromodulin,1.14E+07,9.72E+07,8.89E+06,8.47E+06,5.90E+06,3.94E+06
Q06830,PRDX1_HUMAN,PRDX1,Peroxiredoxin-1,2.63E+08,4.78E+08,3.79E+08,2.40E+08,3.94E+08,2.99E+08
Q07020,RL18_HUMAN,RPL18,Large ribosomal subunit protein eL18,1.38E+07,1.13E+07,1.86E+07,3.00E+07,3.04E+07,2.86E+07
Q07021,C1QBP_HUMAN,C1QBP,"Complement component 1 Q subcomponent-binding protein, mitochondrial",2.21E+06,2.16E+06,1.38E+06,1.95E+06,2.07E+06,3.31E+06
Q07065,CKAP4_HUMAN,CKAP4,Cytoskeleton-associated protein 4,2.76E+06,1.97E+06,1.51E+06,4.45E+06,2.58E+06,8.56E+06
Q07075,AMPE_HUMAN,ENPEP,Glutamyl aminopeptidase,280341,,551182,141491,453360,932965
Q07157,ZO1_HUMAN,TJP1,Tight junction protein ZO-1,1.02E+07,4.17E+06,7.52E+06,8.83E+06,8.19E+06,1.25E+07
Q07507,DERM_HUMAN,DPT,Dermatopontin,130650,404993,201431,96824.9,160106,125444
Q07617,SPAG1_HUMAN,SPAG1,Sperm-associated antigen 1,187448,,105211,66901,253996,102585
Q07654,TFF3_HUMAN,TFF3,Trefoil factor 3,3.91E+06,8.16E+07,1.61E+06,1.04E+07,3.47E+06,859850
Q07666,KHDR1_HUMAN,KHDRBS1,"KH domain-containing, RNA-binding, signal transduction-associated protein 1",2.29E+07,1.57E+07,9.96E+06,1.91E+07,1.74E+07,1.66E+07
Q07812,BAX_HUMAN,BAX,Apoptosis regulator BAX,5.52E+06,3.90E+06,6.97E+06,5.65E+06,4.62E+06,4.21E+06
Q07817,B2CL1_HUMAN,BCL2L1,Bcl-2-like protein 1,31446.4,,22397.4,17542.4,17214.3,46732.8
Q07866,KLC1_HUMAN,KLC1,Kinesin light chain 1,1.74E+06,1.80E+06,2.84E+06,3.33E+06,2.39E+06,2.62E+06
Q07889,SOS1_HUMAN,SOS1,Son of sevenless homolog 1,3.62E+06,,3.61E+06,3.63E+06,3.39E+06,3.94E+06
Q07954,LRP1_HUMAN,LRP1,Prolow-density lipoprotein receptor-related protein 1,8.40E+06,6.57E+06,3.74E+06,6.94E+06,4.25E+06,2.06E+07
Q07955,SRSF1_HUMAN,SRSF1,Serine/arginine-rich splicing factor 1,2.20E+07,1.21E+07,6.10E+06,1.51E+07,1.28E+07,1.30E+07
Q07960,RHG01_HUMAN,ARHGAP1,Rho GTPase-activating protein 1,2.26E+07,2.18E+07,1.59E+07,1.36E+07,1.33E+07,2.01E+07
Q08117,TLE5_HUMAN,TLE5,TLE family member 5,194939,,89051.4,113408,89346.6,195772
Q08170,SRSF4_HUMAN,SRSF4,Serine/arginine-rich splicing factor 4,2.25E+07,1.31E+07,7.16E+06,1.09E+07,1.06E+07,1.22E+07
Q08174,PCDH1_HUMAN,PCDH1,Protocadherin-1,184142,400870,162840,61929.6,208580,95934.6
Q08188,TGM3_HUMAN,TGM3,Protein-glutamine gamma-glutamyltransferase E,4.15E+06,5.62E+06,2.71E+06,3.05E+06,1.48E+06,1.17E+06
Q08209,PP2BA_HUMAN,PPP3CA,Protein phosphatase 3 catalytic subunit alpha,3.40E+06,3.34E+06,2.81E+06,2.86E+06,2.37E+06,3.00E+06
Q08211,DHX9_HUMAN,DHX9,ATP-dependent RNA helicase A,1.19E+07,8.29E+06,6.63E+06,1.60E+07,1.13E+07,1.57E+07
Q08257,QOR_HUMAN,CRYZ,Quinone oxidoreductase,3.46E+07,1.97E+07,4.21E+07,1.48E+07,1.05E+07,2.67E+07
Q08345,DDR1_HUMAN,DDR1,Epithelial discoidin domain-containing receptor 1,5.89E+06,6.08E+06,2.07E+07,7.37E+06,7.89E+06,1.72E+06
Q08378,GOGA3_HUMAN,GOLGA3,Golgin subfamily A member 3,496101,350231,560579,612017,686492,825144
Q08379,GOGA2_HUMAN,GOLGA2,Golgin subfamily A member 2,76283.6,,,87259.8,50392.7,158929
Q08380,LG3BP_HUMAN,LGALS3BP,Galectin-3-binding protein,1.58E+08,3.41E+08,1.08E+09,5.32E+08,3.63E+08,1.66E+08
Q08397,LOXL1_HUMAN,LOXL1,Lysyl oxidase homolog 1,,,49917.3,15161.5,,
Q08431,MFGM_HUMAN,MFGE8,Lactadherin,1.04E+06,,1.20E+07,4.73E+06,1.51E+06,1.37E+06
Q08495,DEMA_HUMAN,DMTN,Dematin,2.09E+06,2.65E+07,535170,324247,424125,2.60E+06
Q08499,PDE4D_HUMAN,PDE4D,"3',5'-cyclic-AMP phosphodiesterase 4D",15048.5,38458.5,26092.8,10858.3,27408.2,22621.1
Q08554,DSC1_HUMAN,DSC1,Desmocollin-1,1.44E+06,2.14E+06,1.33E+06,478450,933733,866378
Q08623,HDHD1_HUMAN,PUDP,Pseudouridine-5'-phosphatase,2.03E+07,3.30E+07,2.23E+07,1.15E+07,1.59E+07,1.91E+07
Q08722,CD47_HUMAN,CD47,Leukocyte surface antigen CD47,6.04E+06,1.56E+07,2.58E+07,5.37E+06,7.36E+06,1.35E+07
Q08752,PPID_HUMAN,PPID,Peptidyl-prolyl cis-trans isomerase D,4.99E+06,5.97E+06,9.37E+06,6.31E+06,7.87E+06,4.94E+06
Q08830,FGL1_HUMAN,FGL1,Fibrinogen-like protein 1,478122,556600,,,281023,
Q08945,SSRP1_HUMAN,SSRP1,FACT complex subunit SSRP1,2.14E+06,2.51E+06,621651,853997,1.53E+06,534623
Q08AF3,SLFN5_HUMAN,SLFN5,Schlafen family member 5,8.77E+06,,9.17E+06,1.12E+07,1.25E+07,1.11E+07
Q08AG7,MZT1_HUMAN,MZT1,Mitotic-spindle organizing protein 1,,,54391.8,68118.3,74806.8,65857.1
Q08AI8,MB214_HUMAN,MAB21L4,Protein mab-21-like 4,6535.82,,,5914.66,,
Q08AM6,VAC14_HUMAN,VAC14,Protein VAC14 homolog,2.13E+06,439459,1.82E+06,1.62E+06,1.79E+06,1.81E+06
Q08J23,NSUN2_HUMAN,NSUN2,RNA cytosine C(5)-methyltransferase NSUN2,1.88E+06,1.18E+06,2.60E+06,2.81E+06,2.30E+06,3.40E+06
Q09028,RBBP4_HUMAN,RBBP4,Histone-binding protein RBBP4,1.18E+07,6.34E+06,4.77E+06,7.76E+06,7.16E+06,7.09E+06
Q09161,NCBP1_HUMAN,NCBP1,Nuclear cap-binding protein subunit 1,4.66E+06,1.85E+06,3.05E+06,4.73E+06,4.34E+06,4.13E+06
Q09327,MGAT3_HUMAN,MGAT3,"Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase",,,,5182.72,,
Q09328,MGT5A_HUMAN,MGAT5,"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A",290099,,1.11E+06,899098,509605,773815
Q09666,AHNK_HUMAN,AHNAK,Neuroblast differentiation-associated protein AHNAK,9.48E+07,8.93E+07,3.45E+07,2.50E+07,4.24E+07,8.16E+07
Q0IIM8,TBC8B_HUMAN,TBC1D8B,TBC1 domain family member 8B,4594.99,,,5955.36,,
Q0JRZ9,FCHO2_HUMAN,FCHO2,F-BAR domain only protein 2,198241,148339,113316,151617,207099,233319
Q0PNE2,ELP6_HUMAN,ELP6,Elongator complex protein 6,,,3380.12,1910,3306.83,4282.09
Q0VD83,APOBR_HUMAN,APOBR,Apolipoprotein B receptor,1.51E+06,2.11E+06,497788,1.19E+06,1.87E+06,658160
Q0VDF9,HSP7E_HUMAN,HSPA14,Heat shock 70 kDa protein 14,848221,,1.12E+06,1.14E+06,1.97E+06,1.12E+06
Q0VDG4,SCRN3_HUMAN,SCRN3,Secernin-3,54930.6,104974,70671.5,27775.7,35904.5,58278.9
Q0VF96,CGNL1_HUMAN,CGNL1,Cingulin-like protein 1,225760,,41877.3,198423,,213150
Q0VGL1,LTOR4_HUMAN,LAMTOR4,Ragulator complex protein LAMTOR4,824022,,360167,531817,500618,416692
Q0Z7S8,FABP9_HUMAN,FABP9,Fatty acid-binding protein 9,,,,250033,312217,
Q0ZGT2,NEXN_HUMAN,NEXN,Nexilin,204005,499268,,,,187498
Q10469,MGAT2_HUMAN,MGAT2,"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",10894.8,46432.9,31081.8,11209.6,16214.2,9714.58
Q10471,GALT2_HUMAN,GALNT2,Polypeptide N-acetylgalactosaminyltransferase 2,255036,553796,207854,339130,386648,268589
Q10472,GALT1_HUMAN,GALNT1,Polypeptide N-acetylgalactosaminyltransferase 1,242957,533851,646366,673463,894110,191502
Q10567,AP1B1_HUMAN,AP1B1,AP-1 complex subunit beta-1,1.69E+07,2.68E+07,1.76E+07,2.72E+07,2.23E+07,2.63E+07
Q10570,CPSF1_HUMAN,CPSF1,Cleavage and polyadenylation specificity factor subunit 1,3.41E+06,,1.29E+06,1.93E+06,2.43E+06,1.60E+06
Q10588,BST1_HUMAN,BST1,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,1.05E+07,3.40E+07,5.02E+07,5.89E+06,9.81E+06,1.72E+07
Q10589,BST2_HUMAN,BST2,Bone marrow stromal antigen 2,3.35E+06,6.60E+06,2.43E+06,6.13E+06,1.79E+07,2.28E+06
Q10713,MPPA_HUMAN,PMPCA,Mitochondrial-processing peptidase subunit alpha,232334,,,115830,199200,
Q11201,SIA4A_HUMAN,ST3GAL1,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1",,,,2610.06,6043.81,5626.51
Q12756,KIF1A_HUMAN,KIF1A,Kinesin-like protein KIF1A,,,,104871,29355,
Q12765,SCRN1_HUMAN,SCRN1,Secernin-1,1.44E+07,1.29E+07,1.13E+07,6.34E+06,8.68E+06,1.33E+07
Q12768,WASC5_HUMAN,WASHC5,WASH complex subunit 5,333856,,363870,494740,464266,524275
Q12769,NU160_HUMAN,NUP160,Nuclear pore complex protein Nup160,18686.4,,,4894.13,6429.85,10457.6
Q12774,ARHG5_HUMAN,ARHGEF5,Rho guanine nucleotide exchange factor 5,618744,,622539,808292,819444,673367
Q12778,FOXO1_HUMAN,FOXO1,Forkhead box protein O1,7171.66,,,,,3961.13
Q12788,TBL3_HUMAN,TBL3,Transducin beta-like protein 3,,,,,404857,321853
Q12789,TF3C1_HUMAN,GTF3C1,General transcription factor 3C polypeptide 1,50125.6,,,17011.9,12067.1,8953.69
Q12792,TWF1_HUMAN,TWF1,Twinfilin-1,1.80E+07,2.12E+07,1.68E+07,2.22E+07,2.31E+07,1.19E+07
Q12797,ASPH_HUMAN,ASPH,Aspartyl/asparaginyl beta-hydroxylase,76090.2,347615,106742,89597.4,68757.9,245058
Q12800,TFCP2_HUMAN,TFCP2,Alpha-globin transcription factor CP2,319290,,397050,1.11E+06,772990,418510
Q12802,AKP13_HUMAN,AKAP13,A-kinase anchor protein 13,1.37E+07,,1.05E+07,1.13E+07,1.46E+07,1.22E+07
Q12805,FBLN3_HUMAN,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,1.17E+07,2.27E+07,7.82E+06,5.39E+06,7.13E+06,1.24E+07
Q12824,SNF5_HUMAN,SMARCB1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1,565639,,229154,260551,248601,282448
Q12830,BPTF_HUMAN,BPTF,Nucleosome-remodeling factor subunit BPTF,6799.47,,,,,
Q12841,FSTL1_HUMAN,FSTL1,Follistatin-related protein 1,1.35E+07,2.89E+07,2.12E+07,1.87E+07,1.67E+07,9.20E+06
Q12846,STX4_HUMAN,STX4,Syntaxin-4,276402,596609,149978,221017,226901,408941
Q12849,GRSF1_HUMAN,GRSF1,G-rich sequence factor 1,1.30E+06,,,848049,1.90E+06,1.84E+06
Q12857,NFIA_HUMAN,NFIA,Nuclear factor 1 A-type,171204,,255550,335985,255441,353715
Q12860,CNTN1_HUMAN,CNTN1,Contactin-1,3.24E+06,2.64E+06,2.64E+07,3.46E+06,4.26E+06,2.37E+06
Q12864,CAD17_HUMAN,CDH17,Cadherin-17,1.84E+06,,664408,222291,470461,
Q12866,MERTK_HUMAN,MERTK,Tyrosine-protein kinase Mer,5.32E+06,1.39E+07,7.70E+06,1.72E+07,9.38E+06,
Q12872,SFSWA_HUMAN,SFSWAP,"Splicing factor, suppressor of white-apricot homolog",3639.43,,,4233.94,6406.26,
Q12873,CHD3_HUMAN,CHD3,Chromodomain-helicase-DNA-binding protein 3,499753,,,207956,793222,480264
Q12874,SF3A3_HUMAN,SF3A3,Splicing factor 3A subunit 3,1.56E+06,1.33E+06,544299,1.19E+06,1.10E+06,1.08E+06
Q12882,DPYD_HUMAN,DPYD,Dihydropyrimidine dehydrogenase [NADP(+)],2.27E+06,2.32E+06,2.30E+06,1.13E+06,1.25E+06,1.67E+06
Q12884,SEPR_HUMAN,FAP,Prolyl endopeptidase FAP,143595,,,62091,,111123
Q12888,TP53B_HUMAN,TP53BP1,TP53-binding protein 1,4.75E+06,1.36E+06,2.63E+06,4.35E+06,4.75E+06,2.66E+06
Q12889,OVGP1_HUMAN,OVGP1,Oviduct-specific glycoprotein,3.93E+06,8.76E+07,1.93E+07,9.11E+07,3.10E+07,
Q12899,TRI26_HUMAN,TRIM26,Tripartite motif-containing protein 26,29067.4,,13197.5,20104.6,33228.9,27093.2
Q12904,AIMP1_HUMAN,AIMP1,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1,2.26E+07,2.03E+07,1.34E+07,1.82E+07,3.22E+07,3.01E+07
Q12905,ILF2_HUMAN,ILF2,Interleukin enhancer-binding factor 2,4.13E+07,1.65E+07,2.32E+07,2.88E+07,3.35E+07,3.36E+07
Q12906,ILF3_HUMAN,ILF3,Interleukin enhancer-binding factor 3,1.22E+08,6.48E+07,7.72E+07,8.88E+07,1.10E+08,1.14E+08
Q12907,LMAN2_HUMAN,LMAN2,Vesicular integral-membrane protein VIP36,4.33E+06,1.09E+07,9.57E+06,8.80E+06,6.10E+06,8.87E+06
Q12913,PTPRJ_HUMAN,PTPRJ,Receptor-type tyrosine-protein phosphatase eta,2.19E+06,7.64E+06,9.07E+06,2.60E+06,4.23E+06,1.81E+06
Q12923,PTN13_HUMAN,PTPN13,Tyrosine-protein phosphatase non-receptor type 13,29220.5,,68567.5,,,18751.3
Q12929,EPS8_HUMAN,EPS8,Epidermal growth factor receptor kinase substrate 8,889510,931457,1.56E+06,635900,1.31E+06,533257
Q12931,TRAP1_HUMAN,TRAP1,"Heat shock protein 75 kDa, mitochondrial",2.67E+08,2.61E+08,4.38E+08,3.57E+08,5.00E+08,3.64E+08
Q12933,TRAF2_HUMAN,TRAF2,TNF receptor-associated factor 2,,,46482.8,42017.5,47178.3,48784
Q12955,ANK3_HUMAN,ANK3,Ankyrin-3,7.34E+06,6.05E+06,4.30E+06,7.57E+06,8.23E+06,6.39E+06
Q12959,DLG1_HUMAN,DLG1,Disks large homolog 1,6.34E+06,7.27E+06,3.08E+06,5.00E+06,5.14E+06,7.69E+06
Q12965,MYO1E_HUMAN,MYO1E,Unconventional myosin-Ie,1.33E+06,1.70E+06,2.01E+06,1.64E+06,3.28E+06,2.58E+06
Q12968,NFAC3_HUMAN,NFATC3,"Nuclear factor of activated T-cells, cytoplasmic 3",2.32E+06,,,1818.63,,
Q12972,PP1R8_HUMAN,PPP1R8,Nuclear inhibitor of protein phosphatase 1,1.18E+06,1.17E+06,697839,1.06E+06,1.03E+06,1.22E+06
Q12974,TP4A2_HUMAN,PTP4A2,Protein tyrosine phosphatase type IVA 2,59952,,54792.8,60940.6,,86310
Q12979,ABR_HUMAN,ABR,Active breakpoint cluster region-related protein,4.28E+06,5.63E+06,5.24E+06,5.79E+06,5.70E+06,5.03E+06
Q12981,SEC20_HUMAN,BNIP1,Vesicle transport protein SEC20,303020,,,,8159.93,
Q12982,BNIP2_HUMAN,BNIP2,BCL2/adenovirus E1B 19 kDa protein-interacting protein 2,3.02E+06,,3.15E+06,1.51E+06,2.07E+06,1.19E+06
Q12983,BNIP3_HUMAN,BNIP3,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3,,,,5345.67,6048.79,
Q12986,NFX1_HUMAN,NFX1,Transcriptional repressor NF-X1,2123.62,,,,1688.01,
Q12996,CSTF3_HUMAN,CSTF3,Cleavage stimulation factor subunit 3,1.42E+07,8.44E+06,4.28E+06,1.55E+07,1.37E+07,9.75E+06
Q13011,ECH1_HUMAN,ECH1,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",1.31E+07,1.82E+07,6.66E+06,5.16E+06,6.85E+06,1.43E+07
Q13017,RHG05_HUMAN,ARHGAP5,Rho GTPase-activating protein 5,666630,,1.26E+06,636978,849125,359432
Q13033,STRN3_HUMAN,STRN3,Striatin-3,1.68E+06,3.96E+06,1.66E+06,1.25E+06,1.80E+06,1.92E+06
Q13042,CDC16_HUMAN,CDC16,Cell division cycle protein 16 homolog,663668,611777,637552,546463,524127,372821
Q13043,STK4_HUMAN,STK4,Serine/threonine-protein kinase 4,1.58E+06,1.82E+06,1.80E+06,1.96E+06,1.91E+06,1.66E+06
Q13045,FLII_HUMAN,FLII,Protein flightless-1 homolog,784461,1.01E+06,1.47E+06,1.89E+06,2.03E+06,1.64E+06
Q13049,TRI32_HUMAN,TRIM32,E3 ubiquitin-protein ligase TRIM32,2788.93,,6097.63,4379.59,,8674.56
Q13057,COASY_HUMAN,COASY,Bifunctional coenzyme A synthase,1.82E+06,1.41E+06,1.25E+06,1.33E+06,1.45E+06,1.33E+06
Q13075,BIRC1_HUMAN,NAIP,Baculoviral IAP repeat-containing protein 1,4345.76,,,5706.35,5520.06,
Q13085,ACACA_HUMAN,ACACA,Acetyl-CoA carboxylase 1,762198,,859016,2.01E+06,1.88E+06,1.15E+06
Q13093,PAFA_HUMAN,PLA2G7,Platelet-activating factor acetylhydrolase,1.82E+06,5.35E+06,4.85E+06,3.40E+06,2.29E+06,1.50E+06
Q13094,LCP2_HUMAN,LCP2,Lymphocyte cytosolic protein 2,3.42E+07,6.35E+07,,2.90E+07,4.82E+07,3.70E+07
Q13098,CSN1_HUMAN,GPS1,COP9 signalosome complex subunit 1,5.66E+06,6.07E+06,6.03E+06,5.94E+06,5.11E+06,6.58E+06
Q13099,IFT88_HUMAN,IFT88,Intraflagellar transport protein 88 homolog,103605,,198062,120436,159296,122063
Q13103,SPP24_HUMAN,SPP2,Secreted phosphoprotein 24,3.03E+06,,3.63E+06,2.13E+06,1.03E+07,1.37E+06
Q13107,UBP4_HUMAN,USP4,Ubiquitin carboxyl-terminal hydrolase 4,2.76E+06,,3.43E+06,2.65E+06,2.70E+06,2.56E+06
Q13113,PDZ1I_HUMAN,PDZK1IP1,PDZK1-interacting protein 1,1.13E+06,,1.18E+06,4.27E+06,2.06E+06,1.23E+06
Q13123,RED_HUMAN,IK,Protein Red,390906,,120095,201598,250071,303974
Q13126,MTAP_HUMAN,MTAP,S-methyl-5'-thioadenosine phosphorylase,8.86E+06,1.42E+07,1.14E+07,8.28E+06,8.04E+06,1.12E+07
Q13131,AAPK1_HUMAN,PRKAA1,5'-AMP-activated protein kinase catalytic subunit alpha-1,5.21E+07,6.70E+07,5.88E+07,4.84E+07,5.47E+07,6.17E+07
Q13136,LIPA1_HUMAN,PPFIA1,Liprin-alpha-1,513729,,599335,346060,413343,504609
Q13137,CACO2_HUMAN,CALCOCO2,Calcium-binding and coiled-coil domain-containing protein 2,3.68E+06,,9.12E+06,5.10E+06,1.03E+07,9.11E+06
Q13144,EI2BE_HUMAN,EIF2B5,Translation initiation factor eIF2B subunit epsilon,211919,,439927,301199,442622,480394
Q13148,TADBP_HUMAN,TARDBP,TAR DNA-binding protein 43,9.58E+06,5.28E+06,4.16E+06,6.84E+06,6.77E+06,7.68E+06
Q13151,ROA0_HUMAN,HNRNPA0,Heterogeneous nuclear ribonucleoprotein A0,8.35E+06,4.35E+06,4.79E+06,7.02E+06,7.36E+06,8.04E+06
Q13153,PAK1_HUMAN,PAK1,Serine/threonine-protein kinase PAK 1,3.38E+06,1.99E+06,3.38E+06,5.29E+06,4.95E+06,2.75E+06
Q13155,AIMP2_HUMAN,AIMP2,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,984812,1.62E+06,1.01E+06,1.59E+06,2.55E+06,2.10E+06
Q13158,FADD_HUMAN,FADD,FAS-associated death domain protein,2.24E+06,1.20E+06,559534,816699,748615,778794
